,Model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc-auc,cv_pr-auc
0,Log_Reg,0.6642598051675781,0.20934531558363806,0.679703552714664,0.32010093654458033,0.7329450748569903,0.2758046844219428
1,Decision Tree,0.618106767650555,0.18736305603428766,0.6792866299615593,0.2929652605263266,0.6966375675228256,0.22071159506907995
2,Random Forest,0.6606911520699714,0.20295781356724238,0.655201550920028,0.30991113065557113,0.7188131288236275,0.25706050341037
3,XGBoost,0.8193629252848424,0.25662954550537387,0.29171042993718777,0.27301535953206535,0.6761245634402907,0.22271604689491337
