Model_name,cv_accuracy,cv_precision,cv_recall,cv_F1,cv_roc_auc,cv_pr_auc
XGBoost,0.8683461739223441,0.356222574372518,0.16700044353326277,0.22735954319955468,0.6902854068718807,0.25488109245061213
Ridge Classifier,0.7173374384876035,0.1941403143538321,0.4559021505519958,0.27231043770230345,0.6567547790488474,0.2060930218577774
L1 Logistic Regression,0.7046707701734235,0.21561633052455034,0.5860321803694516,0.3152376589805464,0.712154395816776,0.26036689121656204
Random Forest,0.7120994326057183,0.23105099535669776,0.6364596863323861,0.33902431155679374,0.7429964641285122,0.3067081978881497
Decision Tree,0.6733589785656063,0.20742152678609904,0.6428427671800968,0.31354047731149975,0.7123413989328592,0.26522567704005845
Logistic Regression,0.6864050632432684,0.22324236394102487,0.6869396983973812,0.3369740639392697,0.7530608352284979,0.31683296660108573
L2 Logistic Regression,0.6864050632432684,0.22324236394102487,0.6869396983973812,0.3369740639392697,0.7530608352284979,0.31683296660108573
