,Model,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc-auc,cv_pr-auc
0,Log_Reg,0.6484919914898158,0.20453570422270353,0.7002061305653104,0.3165921070216623,0.7329429502942825,0.2758022004274334
4,LightGBM,0.717471874855692,0.21888440674495876,0.5565606177092911,0.314192902158848,0.7069231099787332,0.25086031907911327
3,XGBoost,0.7979214350292073,0.231109937561974,0.31705460789418294,0.26732948144731455,0.6635179291578319,0.20879669168903123
1,Decision Tree,0.8105366724725795,0.17641949398873663,0.17159929543918734,0.17397159956021124,0.5331030486902405,0.12660905243454018
2,Random Forest,0.8837558816291585,0.5417927170868347,0.001599831614396969,0.0031899622996673974,0.7179129396977226,0.2557131768153168
